level;character;pinyin
hsk2;猫;māo
hsk2;米;mǐ
hsk2;面¹;miàn ¹
hsk2;面²;miàn ²
hsk2;面前;miàn qián
hsk2;名;míng
hsk2;名称;míng chēng
hsk2;名单;míng dān
hsk2;明星;míngxīng
hsk2;目的;mùdì
hsk2;拿出;ná chū
hsk2;拿到;ná dào
hsk2;那;nà
hsk2;那会儿;nà huìr
hsk2;那么;nà me
hsk2;那时候｜那时;nà shí hou ｜ nà shí
hsk2;那样;nà yàng
hsk2;南方;nán fāng
hsk2;难过;nánguò
hsk2;难看;nán kàn
hsk2;难受;nánshòu
hsk2;难题;nán tí
hsk2;难听;nán tīng
hsk2;能够;néng gòu
hsk2;年级;niánjí
hsk2;年轻;niánqīng
hsk2;鸟;niǎo
hsk2;弄;nòng
hsk2;努力;nǔlì
hsk2;爬;pá
hsk2;爬山;páshān
hsk2;怕;pà
hsk2;排;pái
hsk2;排队;páiduì
hsk2;排球;pái qiú
hsk2;碰;pèng
hsk2;碰到;pèng dào
hsk2;碰见;pèng jiàn
hsk2;篇;piān
hsk2;便宜;piányi
hsk2;片;piàn
hsk2;漂亮;piàoliang
hsk2;平;píng
hsk2;平安;píng’ān
hsk2;平常;píngcháng
hsk2;平等;píngděng
hsk2;平时;píngshí
hsk2;瓶;píng
hsk2;瓶子;píngzi
hsk2;普通;pǔ tōng
hsk2;普通话;pǔtōnghuà
hsk2;其他;qítā
hsk2;其中;qízhōng
hsk2;骑;qí
hsk2;骑车;qí chē
hsk2;起飞;qǐfēi
hsk2;气;qì
hsk2;气温;qì wēn
hsk2;千;qiān
hsk2;千克;qiān kè
hsk2;前年;qián nián
hsk2;墙;qiáng
hsk2;青年;qīng nián
hsk2;青少年;qīngshàonián
hsk2;轻;qīng
hsk2;清楚;qīngchu
hsk2;晴;qíng
hsk2;晴天;qíng tiān
hsk2;请客;qǐng kè
hsk2;请求;qǐngqiú
hsk2;秋天;qiū tiān
hsk2;求;qiú
hsk2;球场;qiú chǎng
hsk2;球队;qiú duì
hsk2;球鞋;qiú xié
hsk2;取;qǔ
hsk2;取得;qǔ dé
hsk2;全;quán
hsk2;全部;quánbù
hsk2;全国;quán guó
hsk2;全家;quán jiā
hsk2;全年;quán nián
hsk2;全身;quán shēn
hsk2;全体;quán tǐ
hsk2;然后;ránhòu
hsk2;让;ràng
hsk2;热情;rèqíng
hsk2;人口;rénkǒu
hsk2;人们;rén men
hsk2;人数;rén shù
hsk2;认为;rènwéi
hsk2;日报;rì bào
hsk2;日子;rìzi
hsk2;如果;rúguǒ
hsk2;入口;rùkǒu
hsk2;商量;shāngliang
hsk2;商人;shāng rén
hsk2;上周;shàng zhōu
hsk2;少数;shǎo shù
hsk2;少年;shào nián
hsk2;身边;shēn biān
hsk2;什么样;shén me yàng
hsk2;生;shēng
hsk2;生词;shēng cí
hsk2;生活;shēnghuó
hsk2;声音;shēngyīn
hsk2;省;shěng
hsk2;省;shěng
hsk2;十分;shífēn
hsk2;实际;shíjì
hsk2;实习;shíxí
hsk2;实现;shíxiàn
hsk2;实在;shízài
hsk2;实在;shízai
hsk2;食物;shíwù
hsk2;使用;shǐyòng
hsk2;市;shì
hsk2;市长;shì zhǎng
hsk2;事情;shìqing
hsk2;收;shōu
hsk2;收到;shōu dào
hsk2;收入;shōurù
hsk2;手表;shǒubiǎo
hsk2;受到;shòudào
hsk2;舒服;shūfu
hsk2;熟;shú
hsk2;数;shǔ
hsk2;数字;shùzì
hsk2;水平;shuǐpíng
hsk2;顺利;shùnlì
hsk2;说明;shuōmíng
hsk2;司机;sījī
hsk2;送到;sòng dào
hsk2;送给;sòng gěi
hsk2;算;suàn
hsk2;虽然;suī rán
hsk2;随便;suíbiàn
hsk2;随时;suíshí
hsk2;所以;suǒ yǐ
hsk2;所有;suǒyǒu
hsk2;它;tā
hsk2;它们;tā men
hsk2;太太;tàitai
hsk2;太阳;tàiyáng
hsk2;态度;tàidu
hsk2;讨论;tǎolùn
hsk2;套;tào
hsk2;特别;tèbié
